GeoFips,GeoName,2017,2018,2019,2020,2021,2022
30140,"Lebanon, PA (Metropolitan Statistical Area)",5749659,5825113,5826855,5657333,6021295,6130358
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",2618835,2610148,2756455,2795349,2927355,2979199
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",4503370,4703346,4811181,5018298,5044783,4975728
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",28671245,29465225,30025380,28847390,29679198,30453117
30620,"Lima, OH (Metropolitan Statistical Area)",7711921,8163264,7724166,7584144,8363968,8256775
30700,"Lincoln, NE (Metropolitan Statistical Area)",19552170,19940034,20346438,20246348,20905354,21668598
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",36515427,37072057,37428270,37665927,39147275,39780911
30860,"Logan, UT-ID (Metropolitan Statistical Area)",5665636,6169276,6314872,6364778,6790728,6808904
30980,"Longview, TX (Metropolitan Statistical Area)",14585371,15385350,15222587,14448248,14959167,15441224
31020,"Longview, WA (Metropolitan Statistical Area)",4700051,4907501,5231999,5302398,5473446,5449102
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",965279922,991254189,1024821682,981305230,1042007410,1060496469
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",70802465,71637665,74328652,72916159,76188675,77452710
31180,"Lubbock, TX (Metropolitan Statistical Area)",13659578,14001212,14377087,14473223,14955602,15090414
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",10060609,10501057,10494654,10064066,10465215,10492407
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",10845986,11030811,10872787,10132044,10714556,10723477
31460,"Madera, CA (Metropolitan Statistical Area)",6023623,6027876,6244195,6240107,6410911,6140436
31540,"Madison, WI (Metropolitan Statistical Area)",47412823,49252686,50639094,49423935,52099292,53015788
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",25959140,26455143,27030133,26988108,29685180,30015576
