series_id,2017-Annual,2018-Annual,2019-Annual,2020-Annual,2021-Annual,2022-Annual
ENU4001950010,41392,43430.0,43935,45018,46650,49432
ENU4002150010,34665,35410.0,36505,40428,43388,45085
ENU4002350010,30808,32108.0,33298,34633,37482,39404
ENU4002550010,31776,33395.0,34985,35729,36726,37516
ENU4002750010,39167,40310.0,41385,43682,44569,47676
ENU4002950010,32170,33631.0,40444,36155,37120,38071
ENU4003150010,38351,39425.0,40759,42723,44382,46381
ENU4003350010,33636,35120.0,37681,33320,39661,44238
ENU4003550010,34413,35319.0,37323,37765,40088,41001
ENU4003750010,41369,43274.0,45504,45470,46815,50566
ENU4003950010,40753,43571.0,44367,45144,46218,48539
ENU4004150010,31230,32558.0,33251,34968,36025,38920
ENU4004350010,44872,49313.0,51970,48552,50829,61859
ENU4004550010,39170,39874.0,41285,39183,40825,43440
ENU4004750010,41512,42512.0,42537,42830,45113,48262
ENU4004950010,44424,45938.0,47775,48111,50548,53428
ENU4005150010,36340,39307.0,41198,40671,43011,45526
ENU4005350010,48004,50652.0,53426,50141,48147,54330
ENU4005550010,30816,31997.0,31837,34293,35100,37723
ENU4005750010,33070,33445.0,34676,37888,39406,40305
ENU4005950010,34914,36775.0,38260,38202,38667,43063
ENU4006150010,29166,30837.0,30696,31970,34979,38153
ENU4006350010,29069,31440.0,32527,33227,34025,37203
ENU4006550010,37352,38789.0,40953,43731,45589,48630
ENU4006750010,31816,31062.0,32603,34741,33007,35094
ENU4006950010,27200,27972.0,36557,37954,40255,43976
ENU4007150010,40869,42575.0,42890,44647,45666,47538
ENU4007350010,45188,50613.0,50357,49127,50236,53950
ENU4007550010,33559,32375.0,34583,36794,37363,39533
ENU4007750010,41073,40585.0,41510,40212,41292,43459
ENU4007950010,36524,36574.0,38092,38883,41155,43143
ENU4008150010,35153,37712.0,39575,41518,44046,46456
ENU4008350010,33963,35329.0,36124,37300,39410,41847
ENU4008550010,32653,34481.0,36341,38858,41562,46161
ENU4008750010,35778,38229.0,39000,40139,41321,44113
ENU4008950010,35340,36657.0,36748,37986,40912,42937
ENU4009150010,28958,29846.0,31559,30777,33123,35735
ENU4009350010,39574,42731.0,42174,39529,40594,43074
ENU4009550010,36065,37073.0,38898,41305,43041,46370
ENU4009750010,42218,43715.0,45343,47614,49032,51167
ENU4009950010,34798,35859.0,37366,38477,40535,42656
ENU4010150010,39615,40581.0,43028,44476,45782,48854
ENU4010350010,44035,47386.0,51657,48459,48087,49937
ENU4010550010,33336,34608.0,36786,41052,43192,46853
ENU4010750010,29684,32456.0,35623,34567,34766,37172
ENU4010950010,51348,52789.0,54059,56178,58028,60383
ENU4011150010,35270,37351.0,38371,41500,40970,43555
ENU4011350010,36666,37532.0,38929,40305,41459,45212
ENU4011550010,32153,32619.0,34419,35984,38868,41379
ENU4011750010,35649,36922.0,38094,39825,40210,42742
ENU4011950010,39145,41233.0,42714,43857,45232,47401
ENU4012150010,43681,45509.0,46450,45225,45649,48353
ENU4012350010,41434,43730.0,44502,47135,49228,52492
ENU4012550010,34393,35122.0,36663,39049,40792,43070
ENU4012750010,29842,31029.0,33279,35781,40982,40241
ENU4012950010,39955,41862.0,40489,40563,43739,46435
ENU4013150010,43666,45711.0,47677,48086,50127,53604
ENU4013350010,35918,37497.0,37942,39490,41086,43903
ENU4013550010,27693,28339.0,31553,31963,32963,34958
ENU4013750010,40095,42315.0,44002,44778,45608,48915
ENU4013950010,39209,41106.0,42101,43247,43900,48834
ENU4014150010,35851,34913.0,35042,36616,37285,39210
ENU4014350010,49008,50708.0,52180,54296,55942,58456
ENU4014550010,39229,40649.0,43760,44472,45331,49099
ENU4014750010,50030,51741.0,53189,54926,55119,57853
ENU4014950010,37542,37440.0,40477,38914,38696,42648
ENU4015150010,43113,43957.0,48173,42145,41362,45768
ENU4015350010,47142,49556.0,49196,47426,47857,51892
ENU4100150010,35761,36777.0,37658,40479,42428,45107
ENU4100350010,50087,52187.0,53364,58062,62125,62586
ENU4100550010,51719,53236.0,54802,59621,63558,66225
ENU4100750010,36797,37877.0,39104,42744,45471,47597
ENU4100950010,38807,39706.0,40731,44956,47492,51138
ENU4101150010,38031,39542.0,40896,43444,45856,47800
ENU4101350010,47035,45660.0,46360,53611,61280,70161
ENU4101550010,34698,35702.0,36661,39463,42383,44252
ENU4101750010,44196,45571.0,47596,52936,56572,60442
ENU4101950010,39766,40745.0,41851,44940,48031,50235
ENU4102150010,39377,42746.0,47295,53944,51334,58538
ENU4102350010,38055,39647.0,39746,41991,44432,47699
