Metropolitan Statistical Area,2019Rank,2020Rank,2021Rank
"CedarRapids,IA",329,217,346
"Laredo,TX",330,353,300
"Danville,IL",331,343,366
"Kokomo,IN",332,374,376
"Rockford,IL",333,372,322
"Longview,TX",334,377,349
"Mobile,AL",335,298,290
"Wheeling,WVOH",336,358,379
"Topeka,KS",337,158,263
"Albany,GA",338,258,367
"Midland,MI",339,287,344
"Owensboro,KY",340,284,280
"KahuluiWailukuLahaina,HI",341,370,59
"WaterlooCedarFalls,IA",342,328,211
"BeaumontPortArthur,TX",343,371,381
"TerreHaute,IN",344,333,351
"Flagstaff,AZ",345,253,227
"Victoria,TX",346,380,267
"Gadsden,AL",347,368,377
"GlensFalls,NY",348,236,180
"Saginaw,MI",349,327,308
"Erie,PA",350,344,325
"Johnstown,PA",351,303,356
"Monroe,MI",352,342,236
"CorpusChristi,TX",353,361,342
"Elmira,NY",354,364,266
"Goldsboro,NC",355,295,358
"ElkhartGoshen,IN",356,81,2
"Mansfield,OH",357,300,297
"ParkersburgVienna,WV",358,334,317
"Dalton,GA",359,349,359
"WatertownFortDrum,NY",360,254,303
"Muskegon,MI",361,363,256
"BattleCreek,MI",362,324,203
"KingsportBristolBristol,TNVA",363,,
"Decatur,IL",364,373,345
"Bloomington,IL",365,165,196
"Peoria,IL",366,362,363
"PineBluff,AR",367,355,374
"YoungstownWarrenBoardman,OHPA",368,352,329
"BayCity,MI",369,193,281
"Williamsport,PA",370,359,352
"Charleston,WV",371,365,369
"Lafayette,LA",372,376,357
"HoumaThibodaux,LA",373,378,378
"Enid,OK",374,381,382
"Farmington,NM",375,379,380
"SanFranciscoOaklandBerkeley,CA",,3,3
"AustinRoundRockGeorgetown,TX",,7,4
"Bend,OR",,8,15
"NaplesMarcoIsland,FL",,10,8
"Coeurd'Alene,ID",,17,27
"FayettevilleSpringdaleRogers,AR",,21,34
"RaleighCary,NC",,23,19
"BremertonSilverdalePortOrchard,WA",,24,92
"TrentonPrinceton,NJ",,27,37
"PrescottValleyPrescott,AZ",,34,107
"SantaRosaPetaluma,CA",,43,28
"OlympiaLaceyTumwater,WA",,45,38
"HiltonHeadIslandBluffton,SC",,54,86
"Stockton,CA",,55,72
"Winchester,VAWV",,64,168
"SiouxFalls,SD",,68,48
"SacramentoRosevilleFolsom,CA",,70,82
"SanDiegoChulaVistaCarlsbad,CA",,76,45
"Vallejo,CA",,79,171
"PhoenixMesaChandler,AZ",,80,36
"RapidCity,SD",,84,89
"AtlantaSandySpringsAlpharetta,GA",,92,56
"Visalia,CA",,103,177
"SanLuisObispoPasoRobles,CA",,117,104
"MiamiFortLauderdalePompanoBeach,FL",,140,30
"PoughkeepsieNewburghMiddletown,NY",,141,109
"GreenvilleAnderson,SC",,143,138
"Niles,MI",,157,336
"GrandRapidsKentwood,MI",,179,151
"EugeneSpringfield,OR",,190,181
"SiouxCity,IANESD",,197,208
"Mankato,MN",,201,270
