Metropolitan Statistical Area,2019Rank,2020Rank,2021Rank
"Cumberland,MDWV",325.0,273.0,355.0
"HuntingtonAshland,WVKYOH",326.0,271.0,337.0
"Pittsfield,MA",327.0,216.0,133.0
"Rome,GA",328.0,348.0,340.0
"CedarRapids,IA",329.0,217.0,346.0
"Laredo,TX",330.0,353.0,300.0
"Danville,IL",331.0,343.0,366.0
"Kokomo,IN",332.0,374.0,376.0
"Rockford,IL",333.0,372.0,322.0
"Longview,TX",334.0,377.0,349.0
"Mobile,AL",335.0,298.0,290.0
"Wheeling,WVOH",336.0,358.0,379.0
"Topeka,KS",337.0,158.0,263.0
"Albany,GA",338.0,258.0,367.0
"Midland,MI",339.0,287.0,344.0
"Owensboro,KY",340.0,284.0,280.0
"KahuluiWailukuLahaina,HI",341.0,370.0,59.0
"WaterlooCedarFalls,IA",342.0,328.0,211.0
"BeaumontPortArthur,TX",343.0,371.0,381.0
"TerreHaute,IN",344.0,333.0,351.0
"Flagstaff,AZ",345.0,253.0,227.0
"Victoria,TX",346.0,380.0,267.0
"Gadsden,AL",347.0,368.0,377.0
"GlensFalls,NY",348.0,236.0,180.0
"Saginaw,MI",349.0,327.0,308.0
"Erie,PA",350.0,344.0,325.0
"Johnstown,PA",351.0,303.0,356.0
"Monroe,MI",352.0,342.0,236.0
"CorpusChristi,TX",353.0,361.0,342.0
"Elmira,NY",354.0,364.0,266.0
"Goldsboro,NC",355.0,295.0,358.0
"ElkhartGoshen,IN",356.0,81.0,2.0
"Mansfield,OH",357.0,300.0,297.0
"ParkersburgVienna,WV",358.0,334.0,317.0
"Dalton,GA",359.0,349.0,359.0
"WatertownFortDrum,NY",360.0,254.0,303.0
"Muskegon,MI",361.0,363.0,256.0
"BattleCreek,MI",362.0,324.0,203.0
"KingsportBristolBristol,TNVA",363.0,351.0,240.0
"Decatur,IL",364.0,373.0,345.0
"Bloomington,IL",365.0,165.0,196.0
"Peoria,IL",366.0,362.0,363.0
"PineBluff,AR",367.0,355.0,374.0
"YoungstownWarrenBoardman,OHPA",368.0,352.0,329.0
"BayCity,MI",369.0,193.0,281.0
"Williamsport,PA",370.0,359.0,352.0
"Charleston,WV",371.0,365.0,369.0
"Lafayette,LA",372.0,376.0,357.0
"HoumaThibodaux,LA",373.0,378.0,378.0
"Enid,OK",374.0,381.0,382.0
"Farmington,NM",375.0,379.0,380.0
"SanFranciscoOaklandBerkeley,CA",5.0,3.0,3.0
"AustinRoundRockGeorgetown,TX",6.0,7.0,4.0
"Coeurd'Alene,ID",39.0,17.0,27.0
"RaleighCary,NC",24.0,23.0,19.0
"TrentonPrinceton,NJ",64.0,27.0,37.0
"PrescottValleyPrescott,AZ",81.0,34.0,107.0
"SantaRosaPetaluma,CA",34.0,43.0,28.0
"OlympiaLaceyTumwater,WA",23.0,45.0,38.0
"HiltonHeadIslandBluffton,SC",32.0,54.0,86.0
"Stockton,CA",60.0,55.0,72.0
"SacramentoRosevilleFolsom,CA",51.0,70.0,82.0
"SanDiegoChulaVistaCarlsbad,CA",69.0,76.0,45.0
"AtlantaSandySpringsAlpharetta,GA",57.0,92.0,56.0
"SanLuisObispoPasoRobles,CA",41.0,117.0,104.0
"MiamiFortLauderdalePompanoBeach,FL",84.0,140.0,30.0
"GreenvilleAnderson,SC",137.0,143.0,138.0
"GrandRapidsKentwood,MI",164.0,179.0,151.0
"EugeneSpringfield,OR",127.0,190.0,181.0
"BuffaloCheektowaga,NY",258.0,203.0,198.0
"DaytonKettering,OH",209.0,205.0,239.0
"BlacksburgChristiansburg,VA",284.0,235.0,78.0
"AlbanyLebanon,OR",117.0,238.0,238.0
"MilwaukeeWaukesha,WI",235.0,241.0,224.0
"SebringAvonPark,FL",226.0,244.0,293.0
"ScrantonWilkesBarre,PA",322.0,264.0,219.0
"GulfportBiloxi,MS",308.0,272.0,253.0
"WausauWeston,WI",201.0,274.0,315.0
"HartfordEastHartfordMiddletown,CT",213.0,286.0,241.0
"KingsportBristol,TNVA",363.0,351.0,240.0
